line,start_time,end_time,text
1,"00:00:11,583","00:00:14,167",NETFLIX PRESENTS
2,"00:02:17,375","00:02:18,542",How cool!
3,"00:02:31,167","00:02:33,542","-Gotcha!
-Nora, come here."
4,"00:02:33,708","00:02:34,792",Nora!
5,"00:02:42,167","00:02:43,583","Nora, keep still!"
6,"00:02:50,708","00:02:52,042","Hello, Sara."
7,"00:02:53,583","00:02:54,583",Hello.
8,"00:02:58,458","00:03:00,833","-Have you met my daughter Nora?
-Hello."
9,"00:03:02,042","00:03:03,792","-And my husband Mikel.
-Hi, Mikel."
10,"00:03:03,958","00:03:05,333",Nice to meet you.
11,"00:03:05,500","00:03:07,958","Well, come in.
Make yourselves at home."
12,"00:03:08,125","00:03:08,833",Thanks.
13,"00:03:09,125","00:03:11,667","Sweetie, help me,
grab that suitcase over there."
14,"00:03:16,583","00:03:18,500",I think I told you on the phone.
15,"00:03:19,583","00:03:22,875",The nurse only works for six hours.
16,"00:03:23,000","00:03:26,667","-And why's that?
-It's all the insurance would cover."
17,"00:03:27,667","00:03:31,500","So we're going to have
to take it in turns caring for her."
18,"00:03:31,667","00:03:35,208","-When do you start at the hospital?
-Tomorrow."
19,"00:03:45,292","00:03:47,208",Doesn't anyone come to clean?
20,"00:03:47,375","00:03:51,208","Mum got rid of everyone,
she couldn't stand any of them."
21,"00:04:27,333","00:04:28,667",Don't be scared.
22,"00:05:15,458","00:05:16,583",Hello.
23,"00:05:18,583","00:05:19,667",I'm Anna.
24,"00:05:20,708","00:05:24,792","I changed her catheter.
Your sister said you're a nurse."
25,"00:05:25,458","00:05:26,667",Yes.
26,"00:05:29,042","00:05:32,708","She has ulcers in her kidneys
and on her back."
27,"00:05:34,458","00:05:37,083","-You know what to do, right?
-Yes, of course."
28,"00:05:37,875","00:05:40,000","Very good.
Well, I'll be back tomorrow."
29,"00:05:40,167","00:05:41,042","Thanks, Anna."
30,"00:06:04,375","00:06:06,292",Are you going to die like Daddy?
31,"00:06:11,667","00:06:15,292","That's what you'd like, right?
You little pig."
32,"00:06:29,375","00:06:31,250","She should be in a hospital,"
33,"00:06:32,292","00:06:34,375",this place isn't suitable.
34,"00:06:34,667","00:06:38,042","She explicitly asked
not to be moved from here."
35,"00:06:38,208","00:06:40,375","It's a living will, so we can't..."
36,"00:06:40,542","00:06:42,500",There's nothing we can do.
37,"00:06:43,083","00:06:45,833","The notary made himself
extremely clear on the matter."
38,"00:06:45,958","00:06:48,333","We'll have to move
these books from here."
39,"00:06:49,625","00:06:53,333","When Mum wakes up, she'll want to find
everything just as she left it."
40,"00:06:53,500","00:06:55,458","Victoria isn't going to wake up, Sara."
41,"00:07:01,958","00:07:03,458",Where are her things?
42,"00:07:05,375","00:07:08,042","-No, not that wardrobe.
-The key?"
43,"00:07:08,208","00:07:12,083","I don't know where the key is.
Mum kept it safe."
44,"00:07:13,583","00:07:15,375",Her things are in that wardrobe.
45,"00:07:32,958","00:07:36,333","-Mummy.
-What is it?"
46,"00:07:36,500","00:07:38,250",When can I see grandma?
47,"00:07:39,875","00:07:43,417","-Grandma is very sick, darling.
-I don't mind."
48,"00:08:02,125","00:08:04,417","You could have visited,"
49,"00:08:05,083","00:08:07,583","even if it was just once,
in all this time."
50,"00:08:09,167","00:08:11,958","I promised myself I'd never come back.
I'm here for you."
51,"00:08:13,167","00:08:14,625",Certainly not for her.
52,"00:08:15,708","00:08:17,792","You called me and I came, to help you."
53,"00:08:18,542","00:08:21,583","And because I found a job,
or I wouldn't have been able to come."
54,"00:08:23,000","00:08:24,167",Thank you.
55,"00:08:26,833","00:08:29,083","Nora will be fine at school, you'll see."
56,"00:08:32,583","00:08:35,917","-Where do you live?
-I've rented a cottage."
57,"00:08:37,000","00:08:40,000","It's small,
but... it's got a lovely garden."
58,"00:08:40,167","00:08:41,208",And...
59,"00:08:42,250","00:08:45,125","-Have you met anyone in all this time?
-No."
60,"00:08:45,958","00:08:47,000",And Félix?
61,"00:08:47,500","00:08:48,875",Félix?
62,"00:08:49,000","00:08:50,792",Félix left a long time ago.
63,"00:08:51,500","00:08:53,250",He's married with three kids.
64,"00:08:54,375","00:08:57,208","Anyway, Mum didn't like Félix at all."
65,"00:08:57,458","00:08:59,958",Victoria didn't like anyone.
66,"00:09:03,417","00:09:05,000",How long has she been like that?
67,"00:09:05,167","00:09:09,042","In a coma, one month,
ever since I called you."
68,"00:09:11,000","00:09:14,250","Shut away in that room, three years."
69,"00:09:15,708","00:09:17,917",The last few months were horrible.
70,"00:09:20,125","00:09:22,542",She just talked about death.
71,"00:09:24,958","00:09:27,208",She cried and moaned all the time...
72,"00:09:29,042","00:09:32,167","and rang that damned bell
like a madwoman."
73,"00:09:40,167","00:09:41,417","Until one day,"
74,"00:09:42,500","00:09:44,292",she suddenly stopped shouting.
75,"00:09:50,958","00:09:52,458","I went up to her room,"
76,"00:09:54,375","00:09:56,083",I thought she was dead.
