line,start_time,end_time,text
1,"00:00:03,048","00:00:09,049","Subtitle created by - Aorion -
""Turbo Kid (2015)"" ^ (Run time : 01:32:44)"""
2,"00:01:04,176","00:01:07,782",This is the future.
3,"00:01:08,216","00:01:12,591","The world as we know it
is gone."
4,"00:01:12,616","00:01:15,319","Acid rain has left
the land barren"
5,"00:01:15,344","00:01:17,415",and the water toxic.
6,"00:01:17,718","00:01:19,587","Scarred by endless wars,"
7,"00:01:19,641","00:01:24,220","humanity struggles to survive
in the ruins of the old world."
8,"00:01:24,254","00:01:27,814","Frozen in the ever
lasting nuclear winter,"
9,"00:01:27,839","00:01:29,512",this is the future.
10,"00:01:29,537","00:01:33,217",This is the year 1997.
11,"00:03:02,592","00:03:05,431",TURBO KID
12,"00:06:47,225","00:06:48,383","- Yeh.
- Oh yeh."
13,"00:06:48,408","00:06:50,684","- Come on! Come on!
- Yeah."
14,"00:06:50,709","00:06:52,201","- Come on!
- Yeh!"
15,"00:06:52,226","00:06:56,054","Come on!
Come on!"
16,"00:07:11,601","00:07:13,060",Kid!
17,"00:07:13,085","00:07:14,225",Hey.
18,"00:07:14,250","00:07:16,935","Oh man.
It's been a long time."
19,"00:07:16,960","00:07:18,738","How've you been, huh?"
20,"00:07:18,763","00:07:21,044","Oof.
Jee."
21,"00:07:21,842","00:07:23,295",Oh.
22,"00:07:24,120","00:07:28,229","A vicious whole bit me, right smack
in the middle of my nut sack."
23,"00:07:28,254","00:07:30,297","That shit ever
happened to you?"
24,"00:07:30,792","00:07:33,205","Hey.
What happened?"
25,"00:07:33,230","00:07:35,168",Who did that?
26,"00:07:35,193","00:07:37,050",It was the rat.
27,"00:07:37,889","00:07:40,672","That rat, did that?"
28,"00:07:41,981","00:07:44,114",It's was a vicious rat.
29,"00:07:44,450","00:07:48,876","Yeah. It's a god damn miracle that
you're still surviving on your own."
30,"00:07:48,901","00:07:51,522","Well.
How about a drink?"
31,"00:07:52,168","00:07:55,431","- No, thank you.
- Suit yourself."
