text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,severity_rating,severity_description
69,69,,,sexual,1.0,Mild
@55,ass,,,sexual,1.0,Mild
@ssfcker,fuck,ass,,sexual,2.8,Severe
@ssfucker,fuck,ass,,sexual,2.8,Severe
@ssfvcker,fuck,ass,,sexual,2.4,Strong
@sshole,ass,,,sexual,1.6,Strong
0ral seks,sex,,,sexual,1.0,Mild
0ral sex,sex,,,sexual,1.8,Strong
0rg@sm,orgasm,,,sexual,1.0,Mild
0rgasms,orgasm,,,sexual,1.0,Mild
3jakulating,ejaculation,,,sexual,1.6,Strong
4r5e,arse,,,sexual,1.4,Mild
4r5ed,arse,,,sexual,1.4,Mild
4r5es,arse,,,sexual,1.4,Mild
4skin,foreskin,,,sexual,1.0,Mild
5h17,shit,,,violence / violence,1.0,Mild
5h1t,shit,,,violence / violence,1.0,Mild
5kank,skank,,,sexual orientation / sexual,2.0,Strong
a_s_s,ass,,,sexual,1.0,Mild
abbie,abraham,,,racial / ethnic slurs,1.2,Mild
abeed,abeed,,,racial / ethnic slurs,1.8,Strong
aboe,abo,,,racial / ethnic slurs,1.0,Mild
anal,anal,,,sexual,1.0,Mild
anal hole,anal,,,sexual,2.2,Strong
anal hore,anal,,,sexual,2.4,Strong
anal pirate,anal,,,sexual,2.2,Strong
analingus,anal,,,sexual,1.6,Strong
analplug,anal,,,sexual,2.2,Strong
analplugs,anal,,,sexual,2.0,Strong
anilingus,anal,,,sexual,1.8,Strong
animal fucker,fuck,,,sexual,3.0,Severe
anus,anus,,,sexual,1.0,Mild
anus plug,anus,,,sexual,2.0,Strong
ape shit,ape,shit,,violence / violence,1.6,Strong
ape shite,ape,shit,,violence / violence,1.6,Strong
apeshit,ape,shit,,violence / violence,1.4,Mild
apeshite,ape,shit,,violence / violence,1.4,Mild
ar5e,arse,,,sexual,1.0,Mild
ar5ehole,arse,,,sexual,1.4,Mild
arse,arse,,,sexual,1.0,Mild
arse gobbler,arse,,,sexual,2.0,Strong
arse hole,arse,,,sexual,1.2,Mild
arse-bandit,arse,,,sexual orientation / sexual,2.0,Strong
arse-bandits,arse,,,sexual,2.2,Strong
arse-fucker,fuck,arse,,sexual,2.6,Severe
arse-fuckers,fuck,arse,,sexual,2.6,Severe
arse-hole,arse,,,sexual,1.8,Strong
arse-shagger,arse,,,sexual,2.4,Strong
arsefuck,fuck,arse,,sexual,2.8,Severe
arsefucker,fuck,arse,,sexual,2.6,Severe
arsehole,arse,,,sexual,1.4,Mild
arseshit,arse,shit,,sexual,1.8,Strong
arsewipe,arse,,,sexual,1.4,Mild
ashole,ass,,,sexual,1.6,Strong
ass,ass,,,sexual,1.0,Mild
ass bandit,ass,,,sexual,1.6,Strong
ass eating boiolas,ass,,,sexual,2.8,Severe
ass eating nob jokeys,ass,,,sexual,2.8,Severe
ass fecker,fuck,ass,,sexual,2.6,Severe
ass fuck,fuck,ass,,sexual,2.8,Severe
ass fucker,fuck,ass,,sexual,2.6,Severe
ass fucking boiolas,fuck,ass,boiolas,sexual,2.6,Severe
ass fucking nob jokeys,fuck,ass,knob,sexual,2.6,Severe
ass hole,ass,,,sexual,1.2,Mild
ass kisser,ass,,,sexual,1.2,Mild
ass licking,ass,,,sexual,1.6,Strong
ass muncher,ass,,,sexual,2.2,Strong
ass-bandit,ass,,,sexual,1.8,Strong
ass-fucker,fuck,ass,,sexual,2.8,Severe
ass-fuckers,fuck,ass,,sexual,2.6,Severe
ass-hole,ass,,,sexual,2.0,Strong
asses,ass,,,sexual,1.0,Mild
assface,ass,,,sexual,1.6,Strong
assfck,ass,fuck,,sexual,2.6,Severe
assfcker,ass,fuck,,sexual,2.8,Severe
assfk,ass,fuck,,sexual,2.2,Strong
assfkcer,ass,fuck,,sexual,2.6,Severe
assfker,ass,fuck,,sexual,2.2,Strong
assfkr,ass,fuck,,sexual,2.2,Strong
assfook,ass,fuck,,sexual,2.6,Severe
assfuccer,ass,fuck,,sexual,2.2,Strong
assfuck,fuck,ass,,sexual,2.6,Severe
assfuck3r,fuck,ass,,sexual,2.8,Severe
assfucker,fuck,ass,,sexual,2.8,Severe
assfuckers,fuck,ass,,sexual,2.8,Severe
assfuckerz,fuck,ass,,sexual,2.4,Strong
assfukah,fuck,ass,,sexual,2.4,Strong
assfukka,fuck,ass,,sexual,2.8,Severe
assfukker,fuck,ass,,sexual,2.6,Severe
assfukkerz,fuck,ass,,sexual,2.8,Severe
assfvck3r,fuck,ass,,sexual,3.0,Severe
assfvcker,fuck,ass,,sexual,2.6,Severe
asshat,ass,,,sexual,1.2,Mild
asshol3,ass,,,sexual,1.8,Strong
asshole,ass,,,sexual,1.2,Mild
asshole fucker,fuck,ass,,sexual,2.6,Severe
assholes,ass,,,sexual,1.6,Strong
assmunch,ass,,,sexual,1.8,Strong
assmuncher,ass,,,sexual,2.2,Strong
asswhole,ass,,,sexual,1.4,Mild
asswipe,ass,,,sexual,1.6,Strong
axe wound,wound,,,sexual,1.2,Mild
azz,ass,,,sexual,1.0,Mild
azzhole,ass,,,sexual,1.6,Strong
b to the inch,bitch,,,sexual orientation / sexual,1.2,Mild
b！tch,bitch,,,sexual orientation / sexual,1.4,Mild
b00bz,boobs,,,sexual,1.0,Mild
b0llock,bollocks,,,sexual,1.0,Mild
b0llocks,bollocks,,,sexual,1.2,Mild
b1+ch,bitch,,,sexual orientation / sexual,1.0,Mild
b17ch,bitch,,,sexual orientation / sexual,1.4,Mild
b1otch,bitch,,,sexual orientation / sexual,1.4,Mild
b1otchs,bitch,,,sexual orientation / sexual,1.2,Mild
b1tch,bitch,,,sexual orientation / sexual,1.4,Mild
b1tch1ng,bitch,,,sexual orientation / sexual,1.2,Mild
b1tch35,bitch,,,sexual orientation / sexual,1.0,Mild
b1tch3s,bitch,,,sexual orientation / sexual,1.4,Mild
b1tchees,bitch,,,sexual orientation / sexual,1.4,Mild
b1tches,bitch,,,sexual orientation / sexual,1.4,Mild
b1tchez,bitch,,,sexual orientation / sexual,1.2,Mild
b1tchin,bitch,,,other / general insult,1.2,Mild
b1tching,bitch,,,sexual orientation / sexual,1.2,Mild
b1tchs,bitch,,,sexual orientation / sexual,1.4,Mild
b1tchy,bitch,,,sexual orientation / sexual,1.2,Mild
baby batter,baby batter,,,violence / violence,1.4,Mild
ballbag,bollocks,,,sexual,1.0,Mild
bangbros,bang,,,sexual,1.6,Strong
bassturd,bastard,,,other / general insult,1.2,Mild
bastard,bastard,retard,,other / general insult,1.2,Mild
bastardish,bastard,,,other / general insult,1.0,Mild
bastards,bastard,,,other / general insult,1.6,Strong
basterd,bastard,,,other / general insult,1.0,Mild
bastid,bastard,,,other / general insult,1.2,Mild
bastinado,bastard,,,other / general insult,1.8,Strong
basturd,bastard,,,violence / violence,1.2,Mild
bater,masturbate,,,sexual,1.6,Strong
bates,masturbate,,,sexual,1.0,Mild
batshit,shit,,,violence / violence,1.0,Mild
batshite,shit,,,violence / violence,1.2,Mild
bbc,cock,,,sexual,1.4,Mild
bean queen,bean queen,,,racial / ethnic slurs,2.2,Strong
beaner,beaner,,,racial / ethnic slurs,2.6,Severe
beaners,beaner,,,racial / ethnic slurs,2.6,Severe
beat my meat,meat,,,sexual,1.2,Mild
beat off,beat off,,,sexual,1.2,Mild
beat the meat,meat,,,sexual,1.4,Mild
beat your meat,meat,,,sexual,1.4,Mild
beeotch,bitch,,,sexual orientation / sexual,1.0,Mild
bell end,bellend,,,bad language,1.0,Mild
bellend,bellend,,,sexual,1.2,Mild
bender,bender,,,sexual orientation / sexual,1.6,Strong
bewbs,boobs,,,sexual,1.0,Mild
beyoch,bitch,,,sexual orientation / sexual,1.2,Mild
beyotch,bitch,,,other / general insult,1.2,Mild
bi + ch,bitch,,,sexual orientation / sexual,1.2,Mild
bi+ch,bitch,,,sexual orientation / sexual,1.4,Mild
biatch,bitch,,,sexual orientation / sexual,1.2,Mild
biches,bitch,,,sexual orientation / sexual,1.4,Mild
biotch,bitch,,,sexual orientation / sexual,1.0,Mild
biotches,bitch,,,sexual orientation / sexual,1.2,Mild
biotchez,bitch,,,sexual orientation / sexual,1.4,Mild
bishes,bitch,,,sexual orientation / sexual,1.2,Mild
bitch,bitch,,,sexual orientation / sexual,1.4,Mild
bitch3s,bitch,,,sexual orientation / sexual,1.2,Mild
bitchass,bitch,ass,,sexual orientation / sexual,1.6,Strong
bitchasses,bitch,ass,,sexual,1.8,Strong
bitched,bitch,,,sexual orientation / sexual,1.2,Mild
bitcher,bitch,,,sexual orientation / sexual,1.4,Mild
bitchers,bitch,,,sexual orientation / sexual,1.4,Mild
bitches,bitch,,,sexual orientation / sexual,1.6,Strong
bitchez,bitch,,,sexual orientation / sexual,1.4,Mild
bitchfuck,fuck,bitch,,sexual,2.4,Strong
bitchhole,bitch,,,sexual,2.4,Strong
bitchin,bitch,,,other / general insult,1.2,Mild
bitchin',bitch,,,other / general insult,1.0,Mild
bitching,bitch,,,sexual orientation / sexual,1.0,Mild
bitchlike,bitch,,,sexual orientation / sexual,1.2,Mild
bitchness,bitch,,,sexual orientation / sexual,1.6,Strong
bitchs,bitch,,,sexual orientation / sexual,1.0,Mild
bitchslap,bitch,,,sexual orientation / sexual,1.0,Mild
bitchtits,bitch,,,sexual,2.2,Strong
bitchy,bitch,,,sexual orientation / sexual,1.2,Mild
bitchy ass,bitch,ass,,sexual,1.8,Strong
bizzach,bitch,,,sexual orientation / sexual,1.6,Strong
BJ,blowjob,,,sexual,1.6,Strong
blacky,blacky,,,racial / ethnic slurs,2.4,Strong
blow a load,blow a load,,,violence / violence,1.6,Strong
blow job,blowjob,,,sexual,2.0,Strong
blowjob,blowjob,,,sexual,1.2,Mild
blumpkin boy,blumpkin,,,sexual,2.4,Strong
boll0ck,bollocks,,,sexual,1.0,Mild
bollock,bollocks,,,sexual,1.0,Mild
bollockchops,bollocks,,,sexual,1.2,Mild
bollocks,bollocks,,,sexual,1.2,Mild
bollocktician,bollocks,,,sexual,1.4,Mild
bollox,bollocks,,,sexual,1.0,Mild
bondage,bondage,,,sexual,1.0,Mild
boner,boner,,,sexual,1.0,Mild
bonk juice,bonk,,,violence / violence,1.6,Strong
boobs,boobs,,,sexual,1.0,Mild
booty,booty,,,sexual,1.0,Mild
breasticles,breast,,,sexual,1.4,Mild
breasts,breast,,,sexual,1.0,Mild
bugger,bugger,,,sexual,1.2,Mild
bugger off,bugger,,,sexual,1.0,Mild
bull shit,shit,,,violence / violence,1.0,Mild
bullshi,shit,,,violence / violence,1.0,Mild
bullshit,shit,,,violence / violence,1.2,Mild
bullshite,shit,,,violence / violence,1.0,Mild
bum-bandits,bum,,,sexual orientation / sexual,1.8,Strong
bum-driller,bum,,,sexual,2.8,Severe
bumhole,bum,,,sexual,1.0,Mild
bung hole,bung,,,sexual,1.0,Mild
butt fuck,fuck,butt,,sexual,2.2,Strong
